"gene_symbol","logFC","logCPM","F","PValue","BH_FDR_full_transcriptome_within_cell_type_supplementary","predicted_for_any_chemical_form","predicted_for_all_chemical_forms","predicted_for_any_sulfate_or_glucuronide","predicted_for_all_sulfate_and_glucuronide_forms","cell_type","minimum_nuclei","n_donors","n_et_donors","n_control_donors","nominal_p_lt_0_05","BH_FDR_all_target_gene_cell_type_tests_within_threshold_supplementary"
"PDE4D",0.27537894853811,8.29362494818634,4.75687619495593,0.0313439956589419,0.282275067952058,TRUE,FALSE,TRUE,FALSE,"Astrocytes",10,108,16,92,TRUE,0.306168354779169
"NR1H3",0.263601914396608,3.35711595131229,4.74121005216707,0.0315096076959694,0.165467851527889,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.306168354779169
"MCL1",-0.380920493935283,4.62453621259372,4.63936105658206,0.0330548714294692,0.436155807272501,TRUE,TRUE,TRUE,TRUE,"Golgi",10,106,16,90,TRUE,0.318528761047612
"F2",0.270757852706946,0.928603270048044,4.60910968903214,0.0337998288914183,0.2699380073122,TRUE,FALSE,TRUE,FALSE,"Granule",10,109,16,93,TRUE,0.323037708913063
"TDP1",-0.225603713234418,5.02660321295695,4.51732841166157,0.0357675778811607,0.178527889477963,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.336828467554653
"DAB2IP",-0.223750069881298,8.28945896283403,4.50623546843097,0.0358205231361724,0.590610681423858,TRUE,FALSE,FALSE,FALSE,"Purkinje",10,108,16,92,TRUE,0.336828467554653
"HTR2C",0.342839273711253,0.472693280685813,4.46110591332435,0.0366597861808379,0.280210701317471,TRUE,FALSE,FALSE,FALSE,"Granule",10,109,16,93,TRUE,0.341962485494856
"AR",0.435473082243725,2.98592810741822,4.42097288125368,0.0370798703748229,0.303299497439483,TRUE,FALSE,TRUE,FALSE,"Astrocytes",10,108,16,92,TRUE,0.343135943309869
"HSD17B3",0.427832087700013,2.24815903497094,4.40010433944772,0.0379716156595711,0.18510331381509,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.347766801555961
"PTPN1",-0.141211348528266,5.82715251111525,4.40087669231028,0.0381768015430214,0.286024274915955,TRUE,TRUE,TRUE,TRUE,"Granule",10,109,16,93,TRUE,0.347766801555961
"ALK",0.244897716016139,3.0038959297647,4.34663830760659,0.0393201003390153,0.28915350337677,TRUE,FALSE,FALSE,FALSE,"Granule",10,109,16,93,TRUE,0.352074700911742
"SGMS1",-0.146027242431713,7.56377303458574,4.33842225680763,0.0394500776701251,0.318169742022251,TRUE,FALSE,FALSE,FALSE,"Oligodendrocytes",10,108,16,92,TRUE,0.352074700911742
"CA12",0.578580872530525,3.80292220654802,4.31794948461258,0.0398568081270999,0.314122957427828,TRUE,TRUE,TRUE,TRUE,"Astrocytes",10,108,16,92,TRUE,0.352074700911742
