"cell_type","gene_symbol","minimum_nuclei","logFC","PValue","nominal_p_lt_0_05","n_donors","n_et_donors","n_control_donors"
"Golgi","CA3",30,-0.177221844775689,0.242964879572228,FALSE,105,16,89
"Purkinje","CA4",30,0.291384691088715,0.269228425609663,FALSE,105,16,89
"Bergmann","CA4",30,0.262913599397797,0.271314535554945,FALSE,108,16,92
"Astrocytes","ADCY10",30,-0.24131846009169,0.272721245520187,FALSE,107,16,91
"Endocytes","CA4",30,0.240649520663137,0.309624297677951,FALSE,99,16,83
"Golgi","CA4",30,0.189860609901568,0.384934794509459,FALSE,105,16,89
"Endocytes","TET3",30,-0.0931912894524559,0.388259746974917,FALSE,99,16,83
"Granule","ADCY10",30,0.174030885711652,0.390699361932803,FALSE,109,16,93
"Astrocytes","CA3",30,-0.107141694286348,0.390944451729546,FALSE,107,16,91
"MLI_2","TET3",30,-0.0874281248741679,0.440174410047958,FALSE,98,15,83
"MLI_1","CA3",30,-0.0739565196814444,0.576360284035321,FALSE,108,16,92
"Granule","TET3",30,-0.0376274852891369,0.57868288286696,FALSE,109,16,93
"Oligodendrocytes","CA3",30,0.0687944861341785,0.58921503498681,FALSE,106,16,90
"OPC","CA3",30,0.0615729635717972,0.632089520032179,FALSE,106,16,90
"Pericytes","TET3",30,0.0789060934495142,0.639529327543382,FALSE,91,16,75
"Granule","CA3",30,-0.044990048515213,0.640033585613891,FALSE,109,16,93
"Microglia","ADCY10",30,0.121487703540561,0.651915954195778,FALSE,105,16,89
"UBC","CA4",30,0.120154310542945,0.672463068629924,FALSE,101,15,86
"MLI_2","CA3",30,-0.0739833306989895,0.712517876854795,FALSE,98,15,83
"Golgi","ADCY10",30,0.0926707982682304,0.719146075314516,FALSE,105,16,89
"MLI_1","ADCY10",30,0.0650789339211043,0.764398044145869,FALSE,108,16,92
"Endocytes","CA3",30,0.0539754568830641,0.775317869883843,FALSE,99,16,83
"OPC","ADCY10",30,-0.0622531559927059,0.788562793495106,FALSE,106,16,90
"OPC","TET3",30,-0.0187890198617493,0.810193687039536,FALSE,106,16,90
"PLI","CA3",30,-0.0344840837622578,0.841899563133462,FALSE,98,16,82
"Purkinje","ADCY10",30,0.0430683685090143,0.85475035408639,FALSE,105,16,89
"Microglia","TET3",30,-0.0143308500184224,0.881938170375768,FALSE,105,16,89
"Bergmann","CA3",30,-0.0152545796140247,0.882038890551896,FALSE,108,16,92
"UBC","CA3",30,0.0257781034806345,0.900312586719983,FALSE,101,15,86
"PLI","TET3",30,0.0107281941449236,0.915287743858685,FALSE,98,16,82
"Astrocytes","TET3",30,-0.0082315326235834,0.924983124882366,FALSE,107,16,91
"Bergmann","ADCY10",30,-0.0139550333353933,0.9523446559402,FALSE,108,16,92
"UBC","TET3",30,0.00326569724900772,0.97694216360437,FALSE,101,15,86
